Creator,Ponzi_Addresses_Count,Ponzi_Addresses,Non_Ponzi_Addresses_Count,Non_Ponzi_Addresses
0x56f0bf1ff1c7526687fdf61b0e6889a105dfcfc5,18,"0x5a437d94843541d5cb83221a4a4b253de30b97b7, 0xf7070fc72e2b92c6309785a39338d7c919a3cf4a, 0xa850e6f693b9bcb31df3ee44e7888ef19e608107, 0x16a4ff536001405f2b0d7ddafc79f6a10d024640, 0x89c2352cb600df56fe4bfb5882caadef3e96213f, 0x428da5ff72d8be0efaa85336b6c6a9fc9e0f73fe, 0xe1388626c8de5fd7e5683a83d8da6a34153e9b18, 0x3ab274f835d1939d20d0bbb72a1fb513d7a7a675, 0xb1d58bad78f33892719cdeba218f8641a71a3f05, 0x0444f06a52320af2df7e60d1923080002838ce93, 0x772cba2f87f92e95bb8ffa96187bbedebbb484d3, 0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341, 0x275498d1fb7ffb5b521f89b23c84224af9f96ea6, 0x55d035ba1f4ae932cf98125b93d830d9858cd39f, 0x09515cb5e3acaef239ab83d78b2f3e3764fcab9b, 0xe861ad00aed0f04b41c675ec1c1493d2ebcbe776, 0x1368e088682b3ea455c4856297365542ca6828d8, 0x258d778e4771893758dfd3e7dd1678229320eeb5",1,0x70e2475b7da322d4a379e43cd7495c63c055192a
0x2c9608d5cf3e0f42d025c00ed0aca13096e56bec,2,"0x4668cd871eba35997e1fbe66d0eddf6612d018ce, 0x80d9c4f6209044de069c545f68644419b520a02f",0,
0x6b2cb4517b00888ad000f72bfb7b38503aa045b0,2,"0xa259e6bcade86c770cb5214c789ee107662831a6, 0x9da7902394fb19ddd340d47398d35e3405bf79ec",0,
0x89a64c31240eee15e8884667ad1877761c63afe6,6,"0xcff9cb72d19c10df754ae7be6d280e379cdb2354, 0x4229a873bbd207deef8f41e807e563c26033d118, 0xa379bbdd0af814502eb9b38d475c7fa7411bb4ec, 0xd12d8f8dfa54f1578b2177f99b2e282367b66b13, 0x750241c16c9fb878a7afd2b07b80f53e02c3f634, 0x422f8015c5d8168edee923749701360a8a4d0703",0,
0xec4c079dafe84579b31f8a68e170345742711f93,3,"0xf243688304fa4f6c6efadc22b9c1dd009aa76650, 0xf70ce1be9685b0cfb531bc712d3faace858b5bfb, 0xa83c4a6d0418074655bdbe74fed8435c46c19f66",0,
0x6e05ce4aef57eb1db331477eaa3a4e8902ac052b,2,"0xf835b307bc5348194ae01ed729170c84217ba688, 0x0f26c26318872e8fa85dee5d30cba45ed53b3d3e",0,
0x6f4250b4c1db1b611e43cbd9a04c4138c7c0af39,0,,6,"0x97680599b29491df74c15ad129c635d9ebaa03b8, 0xaf396dce15cb9e834ff9187f34f589db22c849a8, 0x33a683a7af55942220e4efec514da11b5dc47996, 0xcb3ae1fcb86d208d688da935a463aecff8eaeb41, 0xe89938a1cbf4205096405718e1699fa84608c4bd, 0x664a2f27c4b6a778c5fac601ba2afc1d4d1adca4"
0x61964af73638eb7a8b7d1c6fb2e2a067b7de63e7,2,"0xba6284ca128d72b25f1353fadd06aa145d9095af, 0xf767fca8e65d03fe16d4e38810f5e5376c3372a8",0,
0x7e6f7232ddddc7d5a075150db12e5235455d9432,7,"0x99d982e49bcb5465a6b4c1e0ec4341c912d9ba42, 0x1ff3f56609d0771abb49566600febade0e708beb, 0x43e49c79172a1be3ebb4240da727c0da0fa5d233, 0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1, 0x41f2d5040726c5328f8366f17041ec012ac8f338, 0xee462a6717f17c57c826f1ad9b4d3813495296c9, 0xe4c1c33ed635263c61bf61db751b8a74ee3af0e4",2,"0x237f29bbfd52c768a02980ea8d4d983a1d234edc, 0x78b058ccda93816487c655367dcb79664a216ad2"
0x9d3baa3b83a3e4e7171d2dd73cdbd8ef5dae4012,2,"0x1492cdd605d91658f228eab14d8444b60e6da8df, 0x02b2101903eb6a51518e63e84b785180859fda9d",0,
