col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
0.0,47.880001068115234,49.13999938964844,0.0,53.709999084472656,2.0199999809265137,0.0,39.599998474121094
0.0,47.880001068115234,49.13999938964844,0.0,53.709999084472656,2.0199999809265137,0.0,39.599998474121094
0.0,40.810001373291016,41.959999084472656,0.0,45.7599983215332,1.840000033378601,0.0,33.900001525878906
0.0,26.65999984741211,27.600000381469727,0.0,29.860000610351562,1.4800000190734863,0.0,22.510000228881836
0.0,9.989999771118164,10.680000305175781,0.0,11.109999656677246,1.0499999523162842,0.0,9.079999923706055
0.0,48.38999938964844,49.650001525878906,0.0,54.279998779296875,2.0399999618530273,0.0,40.0
0.0,43.33000183105469,44.52000045776367,0.0,48.599998474121094,1.909999966621399,0.0,35.93000030517578
0.0,47.880001068115234,49.13999938964844,0.0,53.709999084472656,2.0199999809265137,0.0,39.599998474121094
0.0,47.880001068115234,49.13999938964844,0.0,53.709999084472656,2.0199999809265137,0.0,39.599998474121094
0.0,4.440000057220459,5.039999961853027,0.0,4.869999885559082,0.9100000262260437,0.0,4.599999904632568
0.0,47.880001068115234,49.13999938964844,0.0,53.709999084472656,2.0199999809265137,0.0,39.599998474121094
0.0,26.15999984741211,27.09000015258789,0.0,29.290000915527344,1.4700000286102295,0.0,22.100000381469727
0.0,1.399999976158142,1.9600000381469727,0.0,1.4600000381469727,0.8299999833106995,0.0,2.1600000858306885
0.0,49.400001525878906,50.68000030517578,0.0,55.40999984741211,2.059999942779541,0.0,40.81999969482422
0.0,64.55000305175781,66.05999755859375,0.0,72.44999694824219,2.450000047683716,0.0,53.02000045776367
0.0,9.489999771118164,10.170000076293945,0.0,10.550000190734863,1.0399999618530273,0.0,8.670000076293945
0.0,48.38999938964844,49.650001525878906,0.0,54.279998779296875,2.0399999618530273,0.0,40.0
0.0,43.33000183105469,44.52000045776367,0.0,48.599998474121094,1.909999966621399,0.0,35.93000030517578
0.0,64.05000305175781,65.55000305175781,0.0,71.87999725341797,2.440000057220459,0.0,52.619998931884766
0.0,49.400001525878906,50.68000030517578,0.0,55.40999984741211,2.059999942779541,0.0,40.81999969482422
0.0,9.489999771118164,10.170000076293945,0.0,10.550000190734863,1.0399999618530273,0.0,8.670000076293945
0.0,48.38999938964844,49.650001525878906,0.0,54.279998779296875,2.0399999618530273,0.0,40.0
0.0,43.33000183105469,44.52000045776367,0.0,48.599998474121094,1.909999966621399,0.0,35.93000030517578
0.0,64.05000305175781,65.55000305175781,0.0,71.87999725341797,2.440000057220459,0.0,52.619998931884766
0.0,49.400001525878906,50.68000030517578,0.0,55.40999984741211,2.059999942779541,0.0,40.81999969482422
0.0,9.489999771118164,10.170000076293945,0.0,10.550000190734863,1.0399999618530273,0.0,8.670000076293945
