col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
0.0,0.0,0.0,86.94000244140625,0.0,0.0,0.0,87.33000183105469
0.0,0.0,0.0,86.94000244140625,0.0,0.0,0.0,87.33000183105469
0.0,0.0,0.0,74.18000030517578,0.0,0.0,0.0,74.48999786376953
0.0,0.0,0.0,48.650001525878906,0.0,0.0,0.0,48.81999969482422
0.0,0.0,0.0,18.56999969482422,0.0,0.0,0.0,18.549999237060547
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,86.94000244140625,0.0,0.0,0.0,87.33000183105469
0.0,0.0,0.0,86.94000244140625,0.0,0.0,0.0,87.33000183105469
0.0,0.0,0.0,8.539999961853027,0.0,0.0,0.0,8.470000267028809
0.0,0.0,0.0,86.94000244140625,0.0,0.0,0.0,87.33000183105469
0.0,0.0,0.0,47.7400016784668,0.0,0.0,0.0,47.900001525878906
0.25,0.0,0.4699999988079071,3.069999933242798,0.0,0.0,0.0,2.9700000286102295
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,117.0199966430664,0.0,0.0,0.0,117.58999633789062
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,116.11000061035156,0.0,0.0,0.0,116.66999816894531
0.0,0.0,0.0,89.68000030517578,0.0,0.0,0.0,90.08000183105469
0.0,0.0,0.0,17.65999984741211,0.0,0.0,0.0,17.639999389648438
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,78.73999786376953,0.0,0.0,0.0,79.08000183105469
0.0,0.0,0.0,82.37999725341797,0.0,0.0,0.0,82.73999786376953
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,87.8499984741211,0.0,0.0,0.0,88.25
0.0,0.0,0.0,77.81999969482422,0.0,0.0,0.0,78.16000366210938
0.0,0.0,0.0,82.37999725341797,0.0,0.0,0.0,82.73999786376953
