col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,77.91999816894531,23.780000686645508,0.0,0.0,0.0,0.0
0.0,0.0,51.41999816894531,15.739999771118164,0.0,0.0,0.0,0.0
0.0,0.0,20.190000534057617,6.260000228881836,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,9.770000457763672,3.0999999046325684,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,50.470001220703125,15.449999809265137,0.0,0.0,0.0,0.0
0.0,0.0,4.090000152587891,1.3799999952316284,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,122.41000366210938,37.279998779296875,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0199966430664,28.670000076293945,0.0,0.0,0.0,0.0
0.0,0.0,19.239999771118164,5.96999979019165,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,86.44000244140625,26.3700008392334,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,86.44000244140625,26.3700008392334,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,81.70999908447266,24.93000030517578,0.0,0.0,0.0,0.0
0.0,0.0,86.44000244140625,26.3700008392334,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,50.470001220703125,15.449999809265137,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,76.9800033569336,23.5,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,122.41000366210938,37.279998779296875,0.0,0.0,0.0,0.0
0.0,0.0,1.25,0.5199999809265137,0.07999999821186066,0.0,0.0,0.25
0.0,0.0,123.36000061035156,37.56999969482422,0.0,0.0,0.0,0.0
0.0,0.0,77.91999816894531,23.780000686645508,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,121.47000122070312,37.0,0.0,0.0,0.0,0.0
0.0,0.0,123.36000061035156,37.56999969482422,0.0,0.0,0.0,0.0
0.0,0.0,77.91999816894531,23.780000686645508,0.0,0.0,0.0,0.0
0.0,0.0,123.36000061035156,37.56999969482422,0.0,0.0,0.0,0.0
0.0,0.0,76.9800033569336,23.5,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,122.41000366210938,37.279998779296875,0.0,0.0,0.0,0.0
0.0,0.0,1.25,0.5199999809265137,0.07999999821186066,0.0,0.0,0.25
0.0,0.0,136.61000061035156,41.59000015258789,0.0,0.0,0.0,0.0
0.0,0.0,139.4499969482422,42.45000076293945,0.0,0.0,0.0,0.0
0.0,0.0,77.91999816894531,23.780000686645508,0.0,0.0,0.0,0.0
0.0,0.0,136.61000061035156,41.59000015258789,0.0,0.0,0.0,0.0
0.0,0.0,137.55999755859375,41.880001068115234,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,122.41000366210938,37.279998779296875,0.0,0.0,0.0,0.0
0.0,0.0,86.44000244140625,26.3700008392334,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,122.41000366210938,37.279998779296875,0.0,0.0,0.0,0.0
0.0,0.0,77.91999816894531,23.780000686645508,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,1.25,0.5199999809265137,0.07999999821186066,0.0,0.0,0.25
0.0,0.0,136.61000061035156,41.59000015258789,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,136.61000061035156,41.59000015258789,0.0,0.0,0.0,0.0
0.0,0.0,3.1500000953674316,1.090000033378601,0.0,0.0,0.0,0.0
0.0,0.0,136.61000061035156,41.59000015258789,0.0,0.0,0.0,0.0
0.0,0.0,122.41000366210938,37.279998779296875,0.0,0.0,0.0,0.0
0.0,0.0,92.12000274658203,28.09000015258789,0.0,0.0,0.0,0.0
0.0,0.0,82.66000366210938,25.219999313354492,0.0,0.0,0.0,0.0
0.0,0.0,76.02999877929688,23.209999084472656,0.0,0.0,0.0,0.0
0.0,0.0,76.02999877929688,23.209999084472656,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
0.0,0.0,125.25,38.150001525878906,0.0,0.0,0.0,0.0
0.0,0.0,122.41000366210938,37.279998779296875,0.0,0.0,0.0,0.0
0.0,0.0,77.91999816894531,23.780000686645508,0.0,0.0,0.0,0.0
0.0,0.0,91.18000030517578,27.799999237060547,0.0,0.0,0.0,0.0
